id,name,slug,website,one_liner,long_description,batch,status,team_size,all_locations,industry,subindustry,tags,industries,regions,stage,isHiring,nonprofit,top_company,small_logo_thumb_url,launched_at
fl-1,Musical.ly,musical-ly,,Video-based social network,"Musical.ly was a short-form video app founded in 2014 that merged into TikTok. Here's their story, from the beginning to the acquisition.",,Acquired,175,China,Social Media,Social Media,Acquisition Flu,Social Media,China,,False,False,False,,1388534400
fl-2,Justin.tv,justin-tv,,Online video streaming platform,Justin.tv was an early live-streaming site that evolved into Twitch before its closure in 2014. Discover the story behind its rise and fall.,,Inactive,75,United States,Social Media,Social Media,Multiple Reasons,Social Media,United States,,False,False,False,,1167609600
fl-3,Toys R Us,toys-r-us,,"Toy, baby, and clothing retail store","With over 1,400 stores, Toys R Us' sudden demise shocked the business world. This article analyzes the growth and demise of the toy retail giant.",,Inactive,10000,United States,Entertainment,Entertainment,Bad Business Model,Entertainment,United States,,False,False,False,,-410227200
fl-4,Houseparty,houseparty,,Video-based social media app,Hosueparty was shut down in October 2021 as the number of users declined after lockdowns were lifted and Epic decided to shift its focus to other projects.,,Inactive,30,United States,Social Media,Social Media,Lack of Focus,Social Media,United States,,False,False,False,,1293840000
fl-5,Xinja,xinja,,Australia's first licensed neobank,"Looking back at Xinja –Australia's first licensed neobank, which raised $150M and shut down only 3 years laters.",,Inactive,75,Australia,Finances,Finances,Bad Business Model,Finances,Australia,,False,False,False,,1483228800
fl-6,Quirky,quirky,,Community-led invention platform,"Quirky was a community-led invention platform backed by $180M in investment, yet it filed for bankruptcy. Here's their story.",,Inactive,75,United States,Finances,Finances,Multiple Reasons,Finances,United States,,False,False,False,,1230768000
fl-7,Atrium,atrium,,Modern law firm for startups,"A look back into how Atrium, the legal startup co-founded by Justin Kan, raised $75M but shut down 36 months after due to lack of PMF.",,Inactive,175,United States,Software & Hardware,Software & Hardware,Lack of PMF,Software & Hardware,United States,,False,False,False,,1483228800
fl-8,Glitch,glitch,,Social MMO Browser Game,Glitch was a browser-based social MMO game that raised $12.2M. They had to close doors after failing to find a buyer to keep running the game.,,Inactive,30,United States,Entertainment,Entertainment,Bad Business Model,Entertainment,United States,,False,False,False,,1262304000
fl-9,Yogome,yogome,,Educational Mobile Games for Kids,"Yogome was an educational gaming startup for kids, that raised $36.5M. After manipulating internal metrics to impress investors, they were forced to shut down.",,Inactive,75,Mexico,Education,Education,Bad Management,Education,Mexico,,False,False,False,,1262304000
fl-10,Tink Labs,tink-labs,,Smartphone Supplier for Hotel Chains,Tink Labs was the first Hong Kong unicorn. They raised +$160M from investors but had to shut down due to an unproven business model.,,Inactive,375,Hong Kong,Travel,Travel,Bad Business Model,Travel,Hong Kong,,False,False,False,,1325376000
fl-11,Daqri,daqri,,Augmented Reality Experiences,Daqri was an AR (augmented reality) startup that ran out of money despite managing to raise $275 million.,,Acquired,175,United States,Software & Hardware,Software & Hardware,Lack of Funds,Software & Hardware,United States,,False,False,False,,1262304000
fl-12,Katerra,katerra,,Transforming Construction Through Innovation,Katerra tried to become the Salesforce of construction but shut down due to lack of focus after $1.6Bn in funding. Here's their story.,,Inactive,7500,United States,Software & Hardware,Software & Hardware,Lack of Focus,Software & Hardware,United States,,False,False,False,,1420070400
fl-13,HubHaus,hubhaus,,Platform for co-living spaces,"Hubhaus offered an online platform to rent a house and find people willing to live with you. They even achieved PMF, but COVID came and they shut down.",,Inactive,30,United States,Software & Hardware,Software & Hardware,Bad Timing,Software & Hardware,United States,,False,False,False,,1451606400
fl-14,ScaleFactor,scalefactor,,Finance and accounting software for SMEs,-,,Inactive,175,United States,Finances,Finances,Poor Product,Finances,United States,,False,False,False,,1388534400
fl-15,Desti,desti,,Online travel guide app,"## What was Desti?

Desti -a spin-out from SRI International- was a traveling and mapping iPad app that used AI to help its user plan their trips and find the best destination based on their preferences. After the user set his preferences the app would essentially work as a search engine finding hotels, restaurants or any other location based on the data and reviews found online regarding said destination. It would then choose and present the one that most closely matched the user's specifications.",,Acquired,6,United States,Travel,Travel,Bad Business Model,Travel,United States,,False,False,False,,1293840000
fl-16,HotelsAroundYou,hotelsaroundyou,,Booking of same-day hotel rooms,"## What was HotelsAroundYou?

HotelsAroundYou was an India focused service centered on last minute and short stay bookings. It offered users with the option to book hotels for two types of stays: day transit option or night use hotel. The app featured hotels that had unsold rooms and got a commission when users booked a hotel through the app.",,Inactive,6,India,Travel,Travel,Competition,Travel,India,,False,False,False,,1356998400
