company,description,category,country,failure_reason,outcome,started,closed,funding,employees,founders,url
Musical.ly,Video-based social network,Social Media,China,Acquisition Flu,Acquired,2014,2018,> $50M,100-250,2,https://www.failory.com/cemetery/musical-ly
Justin.tv,Online video streaming platform,Social Media,United States,Multiple Reasons,Shut Down,2007,2014,$10M-$50M,50-100,4,https://www.failory.com/cemetery/justin-tv
Toys R Us,"Toy, baby, and clothing retail store",Entertainment,United States,Bad Business Model,Bankruptcy,1957,2021,No Data,"+10,000",1,https://www.failory.com/cemetery/toys-r-us
Houseparty,Video-based social media app,Social Media,United States,Lack of Focus,Shut Down,2011,2021,> $50M,10-50,4,https://www.failory.com/cemetery/houseparty
Xinja,Australia's first licensed neobank,Finances,Australia,Bad Business Model,Shut Down,2017,2020,> $50M,50-100,2,https://www.failory.com/cemetery/xinja
Quirky,Community-led invention platform,Finances,United States,Multiple Reasons,Bankruptcy,2009,2015,> $50M,50-100,1,https://www.failory.com/cemetery/quirky
Atrium,Modern law firm for startups,Software & Hardware,United States,Lack of PMF,Shut Down,2017,2020,> $50M,100-250,4,https://www.failory.com/cemetery/atrium
Glitch,Social MMO Browser Game,Entertainment,United States,Bad Business Model,Shut Down,2010,2012,$10M-$50M,10-50,1,https://www.failory.com/cemetery/glitch
Yogome,Educational Mobile Games for Kids,Education,Mexico,Bad Management,Shut Down,2010,2018,$10M-$50M,50-100,2,https://www.failory.com/cemetery/yogome
Tink Labs,Smartphone Supplier for Hotel Chains,Travel,Hong Kong,Bad Business Model,Shut Down,2012,2019,> $50M,250-500,1,https://www.failory.com/cemetery/tink-labs
Daqri,Augmented Reality Experiences,Software & Hardware,United States,Lack of Funds,Acquired,2010,2019,> $50M,100-250,3,https://www.failory.com/cemetery/daqri
Katerra,Transforming Construction Through Innovation,Software & Hardware,United States,Lack of Focus,Bankruptcy,2015,2021,> $50M,"5,000-10,000",3,https://www.failory.com/cemetery/katerra
HubHaus,Platform for co-living spaces,Software & Hardware,United States,Bad Timing,Shut Down,2016,2020,$10M-$50M,10-50,3,https://www.failory.com/cemetery/hubhaus
ScaleFactor,Finance and accounting software for SMEs,Finances,United States,Poor Product,Shut Down,2014,2020,> $50M,100-250,1,https://www.failory.com/cemetery/scalefactor
Desti,Online travel guide app,Travel,United States,Bad Business Model,Acquired,2011,2014,$1M-$10M,1-10,3,https://www.failory.com/cemetery/desti
HotelsAroundYou,Booking of same-day hotel rooms,Travel,India,Competition,Shut Down,2013,2017,< $1M,1-10,3,https://www.failory.com/cemetery/hotelsaroundyou
HiGear,Private car-sharing club for luxury and sports cars,Transportation,United States,Legal Challenges,Acquired,2011,2011,$1M-$10M,1-10,2,https://www.failory.com/cemetery/higear
Zirtual,Dedicated virtual assistants for busy professionals,Software & Hardware,United States,Mismanagement of Funds,Shut Down,2011,2015,$1M-$10M,100-250,3,https://www.failory.com/cemetery/zirtual
RoomsTonite,Last-minute hotel booking provider,Travel,India,Lack of Funds,Bankruptcy,2014,2017,$1M-$10M,100-250,1,https://www.failory.com/cemetery/roomstonite
Secret,Online platform to share personal secrets,Social Media,United States,Legal Challenges,Shut Down,2013,2015,$10M-$50M,10-50,2,https://www.failory.com/cemetery/secret
Rafter,Textbook and course material provider for schools,Education,United States,Competition,Acquired,2006,2016,> $50M,50-100,1,https://www.failory.com/cemetery/rafter
Netscape,Developed enterprise software solutions,Productivity,United States,Poor Product,Shut Down,1994,2008,No Data,"5,000-10,000",3,https://www.failory.com/cemetery/netscape
Sharingear,Marketplace for musicians to rent their instruments,Music,Denmark,Multiple Reasons,Shut Down,2014,2015,< $1M,1-10,1,https://www.failory.com/cemetery/sharingear
PepperTap,Large and fast grocery delivery service,Food & Beverage,India,Poor Product,Shut Down,2014,2016,> $50M,"1,000-5,000",2,https://www.failory.com/cemetery/peppertap
Zulily,Online retailer that offered daily deals,e-Commerce,United States,Bad Marketing,Shut Down,2009,Active,> $50M,"1,000-5,000",2,https://www.failory.com/cemetery/zulily
EventVue,Built online communities for conferences,Finances,United States,Lack of PMF,Shut Down,2007,2010,< $1M,1-10,2,https://www.failory.com/cemetery/eventvue
Totsy,E-commerce selling prenatal care products,e-Commerce,United States,Poor Product,Shut Down,2009,2013,$10M-$50M,50-100,2,https://www.failory.com/cemetery/totsy
Skully,Augmented reality motorcycle helmets,Transportation,United States,Mismanagement of Funds,Shut Down,2013,2016,$10M-$50M,10-50,1,https://www.failory.com/cemetery/skully
Verelo,Offered website monitoring services,Analytics,Canada,Lack of Funds,Acquired,2012,2012,No Data,1-10,2,https://www.failory.com/cemetery/verelo
Wantful,Online gift-giving service,e-Commerce,United States,Competition,Shut Down,2011,2013,$1M-$10M,"+10,000",1,https://www.failory.com/cemetery/wantful
Gowalla,Social Guide to world's cities,Social Media,United States,Competition,Acquired,2007,2013,$10M-$50M,10-50,2,https://www.failory.com/cemetery/gowalla
PostRocket,Facebook page marketing platform,Analytics,United States,Poor Product,Shut Down,2010,2013,< $1M,1-10,2,https://www.failory.com/cemetery/postrocket
Wesabe,Personal finance management website,Finances,United States,Bad Management,Shut Down,2005,2010,$1M-$10M,10-50,2,https://www.failory.com/cemetery/wesabe
99dresses,Virtual closet to trade fashion items,e-Commerce,Australia,Multiple Reasons,Shut Down,2010,2014,< $1M,1-10,1,https://www.failory.com/cemetery/99dresses
Lookery,Demographic marketing services in social networks,Marketing,United States,Dependence on Others,Acquired,2007,2009,$1M-$10M,1-10,3,https://www.failory.com/cemetery/lookery
Argyle Social,Provided social media management tools,Marketing,United States,Competition,Shut Down,2010,2014,$1M-$10M,10-50,1,https://www.failory.com/cemetery/argyle-social
Karhoo,Cab aggregator and price comparison tool,Transportation,United Kingdom,Poor Product,Acquired,2014,2016,$10M-$50M,50-100,1,https://www.failory.com/cemetery/karhoo
ArsDigita,Agency that built solutions for e-commerce,e-Commerce,United States,Lack of Experience,Shut Down,1997,2002,$10M-$50M,50-100,7,https://www.failory.com/cemetery/arsdigita
PoliMobile,Empowered campaigns with the power of mobile,Marketing,United States,No Market Need,Shut Down,2011,2015,$0,1-10,1,https://www.failory.com/cemetery/polimobile
Tilt,Social payment startup focused on crowd-funding,Finances,United States,Lack of Focus,Acquired,2012,2017,> $50M,100-250,3,https://www.failory.com/cemetery/tilt
Delicious,"Bookmarking website to save, organize and discover links",Productivity,United States,Acquisition Flu,Still Active,2003,2017,No Data,50-100,1,https://www.failory.com/cemetery/delicious
Move Loot,Furniture online marketplace,e-Commerce,United States,Bad Business Model,Shut Down,2013,2016,$10M-$50M,50-100,4,https://www.failory.com/cemetery/move-loot
QBotix,Solar panels attached and regulated by robots,Software & Hardware,United States,Competition,Shut Down,2010,2015,$10M-$50M,10-50,1,https://www.failory.com/cemetery/qbotix
Fuhu,Designer and seller of cloud-served softwares,Software & Hardware,United States,Mismanagement of Funds,Acquired,2006,2015,> $50M,"500-1,000",3,https://www.failory.com/cemetery/fuhu
SellanApp,Connected creatives with app developers,Finances,The Netherlands,Failure to Pivot,Bankruptcy,2012,2015,< $1M,1-10,2,https://www.failory.com/cemetery/sellanapp
Formspring,Encouraged people to get to know each other,Social Media,United States,Legal Challenges,Shut Down,2009,2013,$10M-$50M,10-50,2,https://www.failory.com/cemetery/formspring
Reach.ly,Analytics tool for e-Commerce sites,Analytics,Latvia,Multiple Reasons,Shut Down,2011,2015,< $1M,1-10,1,https://www.failory.com/cemetery/reach-ly
FoundationDB,Scalable NoSQL layered database,Software & Hardware,United States,Acquisition Flu,Acquired,2009,2015,$10M-$50M,10-50,3,https://www.failory.com/cemetery/foundationdb
Stayzilla,Indian homestay network,Travel,India,Lack of Focus,Shut Down,2005,2017,$10M-$50M,250-500,4,https://www.failory.com/cemetery/stayzilla
Auctionata,Online auction platform for art & luxury,e-Commerce,Germany,Legal Challenges,Shut Down,2012,2017,> $50M,250-500,4,https://www.failory.com/cemetery/auctionata
Tutorspree,Web-based tuition services,Education,United States,Bad Marketing,Acquired,2010,2013,$1M-$10M,50-100,3,https://www.failory.com/cemetery/tutorspree
Grooveshark,Web-based on-demand music application,Music,United States,Legal Challenges,Shut Down,2006,2015,$1M-$10M,50-100,3,https://www.failory.com/cemetery/grooveshark
Transpose,Smart workspace for businesses to manage projects,Productivity,United States,Bad Business Model,Shut Down,2015,2015,$1M-$10M,10-50,4,https://www.failory.com/cemetery/transpose
RewardMe,Intelligent CRM solution for local commerce,Marketing,United States,Lack of Funds,Shut Down,2010,2015,$1M-$10M,10-50,3,https://www.failory.com/cemetery/rewardme
Maple,High-quality food delivery startup,Food & Beverage,United States,Bad Business Model,Acquired,2014,2017,$10M-$50M,100-250,2,https://www.failory.com/cemetery/maple
